Id_cliente,fecha_efectiva,Id_tx,clase,valor
132,2020-09-14,6526,AVANCE,100000.0
129,2020-10-17,6207,COMPRA,104663.0
129,2020-10-17,6207,COMPRA,73000.0
122,2020-11-02,6207,COMPRA,104663.0
122,2020-11-02,6207,COMPRA,73000.0
124,2020-10-02,7748,COMPRA,185590.0
124,2020-10-02,7748,COMPRA,2696878.79
110,2020-10-27,7748,COMPRA,185590.0
110,2020-10-27,7748,COMPRA,2696878.79
135,2020-12-18,9696,COMPRA,99000.0
150,2020-10-10,7879,COMPRA,1049792.0
112,2021-02-25,5938,COMPRA,366473.0
112,2021-02-25,5938,COMPRA,106194.0
122,2021-01-27,5938,COMPRA,366473.0
122,2021-01-27,5938,COMPRA,106194.0
122,2020-10-11,3832,AVANCE,110000.0
136,2020-10-11,4766,COMPRA,31622.0
135,2020-11-21,4148,COMPRA,325133.0
135,2020-11-21,4148,COMPRA,1549900.0
123,2020-11-29,4148,COMPRA,325133.0
123,2020-11-29,4148,COMPRA,1549900.0
111,2020-12-17,3512,COMPRA,127402.0
111,2020-12-17,3512,COMPRA,549960.0
147,2020-11-26,3512,COMPRA,127402.0
147,2020-11-26,3512,COMPRA,549960.0
114,2020-10-04,3579,COMPRA,153826.0
126,2021-01-29,6862,AVANCE,20000.0
139,2020-09-13,3403,COMPRA,39900.0
126,2020-10-13,7118,SEGURO,229900.0
120,2020-11-29,7024,COMPRA,517926.0
120,2020-11-29,7024,COMPRA,9917.19
120,2021-01-07,7024,COMPRA,517926.0
120,2021-01-07,7024,COMPRA,9917.19
154,2020-12-27,7920,COMPRA,400000.0
115,2021-01-29,7871,COMPRA,99678.0
122,2020-10-13,3096,COMPRA,70779.0
132,2020-10-15,9007,AVANCE,150000.0
127,2021-02-23,5603,AVANCE,150000.0
127,2021-02-23,5603,COMPRA,843514.0
113,2020-12-11,5603,AVANCE,150000.0
113,2020-12-11,5603,COMPRA,843514.0
129,2021-02-04,8802,AVANCE,41000.0
132,2020-12-19,7061,AVANCE,300000.0
146,2020-10-30,8667,COMPRA,125470.0
114,2020-09-16,9628,COMPRA,640776.0
129,2020-12-19,7658,AVANCE,600000.0
120,2020-12-20,4957,AVANCE,150000.0
120,2020-12-20,4957,COMPRA,1223966.0
135,2020-10-28,4957,AVANCE,150000.0
135,2020-10-28,4957,COMPRA,1223966.0
134,2020-12-15,5434,COMPRA,30820.0
108,2020-09-10,5756,AVANCE,497000.0
108,2020-09-10,5756,COMPRA,112150.0
121,2020-09-29,5756,AVANCE,497000.0
121,2020-09-29,5756,COMPRA,112150.0
127,2020-12-20,7065,COMPRA,1640000.0
133,2021-01-08,8807,COMPRA,507170.0
141,2021-02-22,7317,AVANCE,800000.0
117,2020-12-21,9333,AVANCE,800000.0
117,2020-12-21,9333,COMPRA,649237.0
137,2020-12-05,9333,AVANCE,800000.0
137,2020-12-05,9333,COMPRA,649237.0
121,2020-10-17,8711,COMPRA,50000.0
115,2020-12-03,9643,AVANCE,430000.0
115,2020-12-22,6456,COMPRA,126060.0
115,2020-12-22,6456,AVANCE,400000.0
141,2020-12-30,6456,COMPRA,126060.0
141,2020-12-30,6456,AVANCE,400000.0
132,2021-02-24,2979,COMPRA,108670.0
114,2021-02-06,4508,COMPRA,50000.0
121,2021-02-28,7413,COMPRA,8500.0
119,2020-09-10,4588,AVANCE,600000.0
116,2020-09-01,5017,COMPRA,99218.0
112,2020-12-13,3223,COMPRA,138403.18
112,2020-12-13,3223,AVANCE,300000.0
139,2020-09-22,3223,COMPRA,138403.18
139,2020-09-22,3223,AVANCE,300000.0
128,2021-02-05,9611,COMPRA,2149853.0
116,2021-02-25,5247,AVANCE,400000.0
116,2021-02-25,5247,COMPRA,110000.0
112,2021-01-31,5247,AVANCE,400000.0
112,2021-01-31,5247,COMPRA,110000.0
127,2020-12-27,3693,AVANCE,300000.0
125,2020-12-23,6736,COMPRA,108000.0
119,2020-12-22,6956,COMPRA,1430947.0
132,2020-12-23,4439,COMPRA,399306.0
140,2021-02-17,8566,COMPRA,30000.0
97,2020-12-24,3588,AVANCE,200000.0
97,2020-12-24,3588,COMPRA,91050.0
124,2020-09-28,3588,AVANCE,200000.0
124,2020-09-28,3588,COMPRA,91050.0
136,2020-10-16,4783,COMPRA,392820.0
133,2020-09-11,5206,COMPRA,135240.0
133,2020-09-11,5206,COMPRA,2030850.0
117,2021-02-16,5206,COMPRA,135240.0
117,2021-02-16,5206,COMPRA,2030850.0
140,2020-12-27,5162,AVANCE,800000.0
109,2020-10-24,5684,COMPRA,150449.44
110,2020-09-23,3888,COMPRA,69900.0
110,2020-09-23,3888,AVANCE,63000.0
129,2021-02-21,3888,COMPRA,69900.0
129,2021-02-21,3888,AVANCE,63000.0
120,2020-12-28,8144,COMPRA,351135.0
117,2020-11-03,4170,COMPRA,38275.0
